date,Mkt-RF,SMB,HML,RMW,CMA,RF,MOM,CAT
2019-12-31,0.0276,0.009899999999999999,0.0173,0.0005,0.011899999999999999,0.0014000000000000002,-0.0222,0.016875314539518745
2020-01-31,-0.0009,-0.0437,-0.0622,-0.011899999999999999,-0.0219,0.0013,0.0602,-0.007156637297783922
2020-02-29,-0.0815,0.0008,-0.0382,-0.0143,-0.0253,0.0012,-0.0028000000000000004,-0.005450396767676766
2020-03-31,-0.1335,-0.0818,-0.1383,-0.0161,0.011899999999999999,0.0012,0.0821,0.029972267364479083
2020-04-30,0.1358,0.025699999999999997,-0.0134,0.0276,-0.0102,0.0,-0.0548,0.01383017225119515
2020-05-31,0.0559,0.0192,-0.05,0.0096,-0.0316,0.0001,0.0016,-0.01366426808547816
2020-06-30,0.024399999999999998,0.0195,-0.0217,0.0014000000000000002,0.0055000000000000005,0.0001,-0.0083,0.01715405126413557
2020-07-31,0.0583,-0.0319,-0.0144,0.0038,0.0097,0.0001,0.0771,-0.021510705503561475
2020-08-31,0.0762,-0.0089,-0.0302,0.042699999999999995,-0.0151,0.0001,0.0046,-0.0022548827906513913
2020-09-30,-0.0364,-0.0001,-0.027200000000000002,-0.0138,-0.019299999999999998,0.0001,0.0319,0.011282211521866873
2020-10-31,-0.0208,0.0467,0.0425,-0.0077,-0.005699999999999999,0.0001,-0.031400000000000004,-0.006045144369863015
2020-11-30,0.1244,0.0712,0.0209,-0.0225,0.0128,0.0001,-0.1255,0.006650900067567522
2020-12-31,0.0463,0.0493,-0.0168,-0.0197,-0.0006,0.0001,-0.023700000000000002,-0.006343284064813978
2021-01-31,-0.0007000000000000001,0.0681,0.0322,-0.0365,0.049699999999999994,0.0,0.0431,-0.014136294053621948
2021-02-28,0.0281,0.045,0.07200000000000001,0.0033,-0.0199,0.0,-0.079,-0.007021826431308206
2021-03-31,0.0316,-0.0084,0.0735,0.0635,0.0352,0.0,-0.061200000000000004,0.0006441636860134679
2021-04-30,0.049699999999999994,-0.0316,-0.0102,0.024300000000000002,-0.027200000000000002,0.0,0.0123,0.005838081025641026
2021-05-31,0.0029,0.0127,0.0704,0.023399999999999997,0.0301,0.0,0.005600000000000001,0.002771327106357688
2021-06-30,0.0273,-0.003,-0.0786,-0.021400000000000002,-0.009300000000000001,0.0,0.0207,0.015382158996991925
2021-07-31,0.0134,-0.0455,-0.0179,0.055,-0.0059,0.0,-0.0218,0.012494250528331897
2021-08-31,0.029500000000000002,-0.0066,-0.0023,-0.0026,-0.0172,0.0,0.0263,0.025603124387677006
2021-09-30,-0.044000000000000004,0.011200000000000002,0.0512,-0.0192,0.02,0.0,0.0139,0.007313049427414689
2021-10-31,0.0663,-0.027000000000000003,-0.0053,0.0171,-0.0154,0.0,0.0332,0.00020696417110934937
